pdf_row_id,Bounds,Page,Path,filePaths,attributes.BBox,attributes.NumCol,attributes.NumRow,attributes.Placement,attributes.SpaceAfter,attributes.BackgroundColor,attributes.BlockAlign,attributes.BorderColor,attributes.BorderStyle,attributes.BorderThickness,attributes.ColIndex,attributes.Height,attributes.InlineAlign,attributes.RowIndex,attributes.Width,HasClip,Lang,Text,TextSize,Font.alt_family_name,Font.embedded,Font.encoding,Font.family_name,Font.font_type,Font.italic,Font.monospaced,Font.name,Font.subset,Font.weight,attributes.LineHeight,attributes.TextAlign,attributes.RowSpan
10,"[108.79299926757812, 705.6889953613281, 248.0030059814453, 722.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI/LBody,,,,,,,,,,,,,,,,,False,,"the UPB of the mortgage loan, ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
11,"[100.62300109863281, 689.6889953613281, 108.79301452636719, 706.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI[2]/Lbl,,,,,,,,,,,,,,,,,False,,• ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
12,"[108.79299926757812, 689.6889953613281, 217.72300720214844, 706.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI[2]/LBody,,,,,,,,,,,,,,,,,False,,"the applicable PTR, and ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
13,"[100.62300109863281, 673.6889953613281, 108.79301452636719, 690.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI[3]/Lbl,,,,,,,,,,,,,,,,,False,,• ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
14,"[108.79299926757812, 673.6889953613281, 451.572998046875, 690.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI[3]/LBody,,,,,,,,,,,,,,,,,False,,the number of days the mortgage loan exceeded the allowable time frame. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
15,"[55.52400207519531, 566.7389984130859, 523.6739959716797, 653.6889953613281]",0.0,//Document/P,,,,,,11.125,,,,,,,,,,,False,en,"Note: A compensatory fee bill will be issued only for those servicers identified as having a chronic issue in meeting foreclosure time frames and only after the completion of a performance improvement plan. The total compensatory fee bill amount will be adjusted based on the results of the mortgage loan level review as described in (<>)A2-4-01, Quality Control Reviews and the servicer’s implementation of remediation under the performance improvement plan as described in (<>)A1-1-03, Evaluating a (<>)Servicer’s Performance. ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,14.0,,
16,"[42.52400207519531, 527.5390014648438, 537.1340026855469, 558.4889984130859]",0.0,//Document/P[2],,,,,,18.0,,,,,,,,,,,False,en,"See (<>)F-2-03, Compensatory Fee Calculation Examples for examples that illustrate how compensatory fees are calculated. ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,14.0,,
17,"[42.52400207519531, 486.1029968261719, 248.98199462890625, 509.83299255371094]",0.0,//Document/H1,,,,,,18.0,,,,,,,,,,,False,en,Recent Related Announcements ,14.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,16.75,,
18,"[42.52400207519531, 455.1390075683594, 501.2740020751953, 472.08900451660156]",0.0,//Document/P[3],,,,,,16.125,,,,,,,,,,,False,en,The table below provides references to recently issued Announcements that are related to this topic. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,
19,"[53.27400207519531, 385.4389953613281, 457.5740051269531, 436.5690002441406]",0.0,//Document/Table[2],['tables/fileoutpart1.xlsx'],"[42.47829999999885, 374.5089999999909, 553.0569999999716, 445.9059999999881]",2.0,2.0,Block,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[132.63400268554688, 420.66900634765625, 216.8939971923828, 436.5690002441406]",0.0,//Document/Table[2]/TR/TH,,"[42.47829999999885, 411.5879999999888, 304.30799999999, 445.9059999999881]",,,,,"[1, 1, 1]",Middle,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'Solid', 'None', 'Solid']","[0.875, 0.375, 0, 0.375]",0.0,34.375,Center,0.0,261.875,,,,,,,,,,,,,,,,,
21,"[132.63400268554688, 420.66900634765625, 216.8939971923828, 436.5690002441406]",0.0,//Document/Table[2]/TR/TH/P,,,,,,,,,,,,,,,,,False,en,Announcements ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed-Bold,True,700.0,12.0,,
22,"[401.4340057373047, 420.66900634765625, 457.5740051269531, 436.5690002441406]",0.0,//Document/Table[2]/TR/TH[2],,"[303.4679999999935, 411.5879999999888, 553.8969999999972, 445.9059999999881]",,,,,"[1, 1, 1]",Middle,"[0.7019649999999729, 0.7019649999999729, 0.7019649999999729]",Solid,"[0.875, 0.375, 0.375, 0.875]",1.0,34.375,Center,0.0,250.25,,,,,,,,,,,,,,,,,
23,"[401.4340057373047, 420.66900634765625, 457.5740051269531, 436.5690002441406]",0.0,//Document/Table[2]/TR/TH[2]/P,,,,,,,,,,,,,,,,,False,en,Issue Date ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed-Bold,True,700.0,12.0,,
24,"[53.27400207519531, 385.4389953613281, 186.06399536132812, 402.3890075683594]",0.0,//Document/Table[2]/TR[2]/TD,,"[42.47829999999885, 374.5089999999909, 304.30799999999, 412.42699999999604]",,,,,"[1, 1, 1]",Middle,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'None', 'None', 'Solid']","[0.375, 0, 0, 0.375]",0.0,37.875,Start,1.0,261.875,,,,,,,,,,,,,,,,,
25,"[53.27400207519531, 385.4389953613281, 186.06399536132812, 402.3890075683594]",0.0,//Document/Table[2]/TR[2]/TD/P/Reference,,,,,,,,,,,,,,,,,False,en,(<https://singlefamily.fanniemae.com/media/document/pdf/announcement-svc-2019-01-servicing-guide-update>)Announcement SVC-2019-01 ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,
26,"[314.49400329589844, 385.4389953613281, 400.2539978027344, 402.3890075683594]",0.0,//Document/Table[2]/TR[2]/TD[2],,"[303.4679999999935, 374.5089999999909, 553.8969999999972, 412.42699999999604]",,,,,"[1, 1, 1]",Middle,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'None', 'Solid', 'Solid']","[0.375, 0, 0.375, 0.875]",1.0,37.875,Start,1.0,250.25,,,,,,,,,,,,,,,,,
27,"[314.49400329589844, 385.4389953613281, 400.2539978027344, 402.3890075683594]",0.0,//Document/Table[2]/TR[2]/TD[2]/P,,,,,,,,,,,,,,,,,False,en,"February 13, 2019 ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,
28,"[42.52400207519531, 338.6029968261719, 413.8679962158203, 364.0429992675781]",0.0,//Document/H1[2],,,,,,18.0,,,,,,,,,,,False,en,"Subpart A2, Getting Started with Fannie Mae ",16.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed-Bold,True,700.0,19.25,,
29,"[42.52400207519531, 272.7310028076172, 456.9239959716797, 298.17100524902344]",0.0,//Document/H1[3],,,,,,18.0,,,,,,,,,,,False,en,"Chapter A2-1, Servicer Duties and Responsibilities ",16.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed-Bold,True,700.0,19.25,,
30,"[42.52400207519531, 228.29299926757812, 122.56199645996094, 252.0229949951172]",0.0,//Document/H2,,,,,,18.0,,,,,,,,,,,False,en,Introduction ,14.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,16.75,,
31,"[42.52400207519531, 197.32899475097656, 373.1540069580078, 214.2790069580078]",0.0,//Document/P[4],,,,,,18.0,,,,,,,,,,,False,en,This chapter contains information on servicer duties and responsibilities. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,
32,"[42.52400207519531, 748.3350067138672, 530.7960052490234, 775.4550018310547]",1.0,//Document/H1[4],,,,,,18.0,,,,,,,,,,,False,en,"A2-1-01, General Servicer Duties and Responsibilities (04/12/2023) ",16.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,19.25,,
33,"[42.52400207519531, 685.9530029296875, 122.56199645996094, 709.6829986572266]",1.0,//Document/H2[2],,,,,,9.75,,,,,,,,,,,False,en,Introduction ,14.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,16.75,,
34,"[42.52400207519531, 666.1889953613281, 193.343994140625, 683.1390075683594]",1.0,//Document/P[5],,,,,,10.25,,,,,,,,,,,False,en,This topic contains the following: ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,
35,"[63.17399597167969, 649.8869934082031, 67.27400207519531, 653.9869995117188]",1.0,//Document/L/LI/Lbl/Figure,,"[63.47739999999976, 650.0179999999818, 67.19729999999981, 653.737999999983]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[72.52400207519531, 643.8890075683594, 331.48399353027344, 660.8390045166016]",1.0,//Document/L/LI/LBody/Reference,,,,,,,,,,,,,,,,,False,,(<>)Overview of General Servicer Duties and Responsibilities ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
37,"[63.17399597167969, 635.8869934082031, 67.27400207519531, 639.9869995117188]",1.0,//Document/L/LI[2]/Lbl/Figure,,"[63.47739999999976, 635.9779999999737, 67.19729999999981, 639.6979999999749]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[72.52400207519531, 629.8890075683594, 210.46400451660156, 646.8390045166016]",1.0,//Document/L/LI[2]/LBody/Reference,,,,,,,,,,,,,,,,,False,,(<>)Maintaining Fair Lending Data ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
39,"[63.17399597167969, 621.8869934082031, 67.27400207519531, 625.9869995117188]",1.0,//Document/L/LI[3]/Lbl/Figure,,"[63.47739999999976, 622.0589999999793, 67.19729999999981, 625.7789999999804]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[72.52400207519531, 615.8890075683594, 379.9440002441406, 632.8390045166016]",1.0,//Document/L/LI[3]/LBody/Reference,,,,,,,,,,,,,,,,,False,,(<>)Additional Servicer Duties and Responsibilities for Certain Servicers ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
41,"[63.17399597167969, 607.8869934082031, 67.27400207519531, 611.9869995117188]",1.0,//Document/L/LI[4]/Lbl/Figure,,"[63.47739999999976, 608.0199999999895, 67.19729999999981, 611.7389999999723]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"[72.52400207519531, 601.8890075683594, 164.78399658203125, 618.8390045166016]",1.0,//Document/L/LI[4]/LBody/Reference,,,,,,,,,,,,,,,,,False,,(<>)Processing of Funds ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
43,"[63.17399597167969, 593.8869934082031, 67.27400207519531, 597.9869995117188]",1.0,//Document/L/LI[5]/Lbl/Figure,,"[63.47739999999976, 593.9799999999814, 67.19729999999981, 597.6999999999825]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[72.52400207519531, 587.8890075683594, 177.54400634765625, 604.8390045166016]",1.0,//Document/L/LI[5]/LBody/Reference,,,,,,,,,,,,,,,,,False,,(<>)Delinquency Advances ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
45,"[63.17399597167969, 579.8869934082031, 67.27400207519531, 583.9869995117188]",1.0,//Document/L/LI[6]/Lbl/Figure,,"[63.47739999999976, 580.060999999987, 67.19729999999981, 583.7809999999881]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"[72.52400207519531, 573.8890075683594, 163.08399963378906, 590.8390045166016]",1.0,//Document/L/LI[6]/LBody/Reference,,,,,,,,,,,,,,,,,False,,(<>)Servicing Advances ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
47,"[42.52400207519531, 519.3529968261719, 405.0679931640625, 543.0829925537109]",1.0,//Document/H2[3],,,,,,18.0,,,,,,,,,,,False,en,Overview of General Servicer Duties and Responsibilities ,14.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,16.75,,
48,"[42.52400207519531, 306.3890075683594, 552.9239959716797, 505.33900451660156]",1.0,//Document/P[6],,,,,,14.125,,,,,,,,,,,False,en,"The servicer services Fannie Mae mortgage loans as an independent contractor and not as an agent, assignee, or representative of Fannie Mae. Most of the policies and standards described in the Selling and Servicing Guides are intended to set forth the broad parameters under which the servicer must exercise sound and professional judgment as a mortgage loan servicer in the performance of its duties. As a result, in most instances Fannie Mae has not set forth absolute requirements because it believes that the servicer needs to maintain the discretion to apply appropriate judgment in dealing with borrowers and mortgage loans on a case by case basis, consistent with Fannie Mae’s servicing policies. Further, even where Fannie Mae has set forth a “requirement,” it has not enumerated speciﬁcally how the servicer should implement it. Fannie Mae generally will not object to the practices the servicer regularly applies so long as they are carried out in accordance with established written procedures that are consistent with Fannie Mae’s servicing policies. The servicer may apply practices used on its own portfolio of mortgage loans to Fannie Mae mortgage loans as long as the practices are in accordance with the servicer’s established written procedures and are consistent with Fannie Mae’s servicing policies. As a general matter, the servicer must have suﬃcient staﬃng levels, technology, and properly trained staﬀ (including third-party providers of its outsourced servicing activities and technology) to ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,14.0,,
49,"[63.17399597167969, 284.18699645996094, 67.27400207519531, 288.28700256347656]",1.0,//Document/L[2]/LI/Lbl/Figure,,"[63.47739999999976, 284.3929999999964, 67.19729999999981, 288.11299999999756]",,,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[72.52400207519531, 264.1889953613281, 550.1840057373047, 295.1390075683594]",1.0,//Document/L[2]/LI/LBody,,,,,,,,,,,,,,,,,False,,"carry out all aspects of their servicing duties in accordance with the timing requirements of the Servicing Guide, ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,True,False,MPDFAA+DejaVuSansCondensed-Oblique,True,400.0,,,
51,"[63.17399597167969, 250.18699645996094, 67.27400207519531, 254.28700256347656]",1.0,//Document/L[2]/LI[2]/Lbl/Figure,,"[63.47739999999976, 250.3139999999985, 67.19729999999981, 254.03399999999965]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"[72.52400207519531, 244.18899536132812, 297.9239959716797, 261.1390075683594]",1.0,//Document/L[2]/LI[2]/LBody,,,,,,,,,,,,,,,,,False,,"maintain acceptable performance standards, and ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
53,"[63.17399597167969, 230.18699645996094, 67.27400207519531, 234.28700256347656]",1.0,//Document/L[2]/LI[3]/Lbl/Figure,,"[63.47739999999976, 230.3949999999968, 67.19729999999981, 234.11499999999796]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"[72.52400207519531, 224.18899536132812, 326.86399841308594, 241.13900756835938]",1.0,//Document/L[2]/LI[3]/LBody,,,,,,,,,,,,,,,,,False,,provide borrowers with assistance when it is requested. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
55,"[42.52400207519531, 195.98899841308594, 278.8739929199219, 212.93899536132812]",1.0,//Document/P[7],,,,,,14.25,,,,,,,,,,,False,en,"Furthermore, the servicer (or master servicer) must ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,
56,"[63.17399597167969, 173.78700256347656, 67.27400207519531, 177.88699340820312]",1.0,//Document/L[3]/LI/Lbl/Figure,,"[63.47739999999976, 173.99699999999575, 67.19729999999981, 177.71699999999691]",,,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"[72.52400207519531, 139.78900146484375, 536.8639984130859, 184.73899841308594]",1.0,//Document/L[3]/LI/LBody,,,,,,,,,,,,,,,,,False,,"require the subservicer/outsource vendor to have policies and procedures for the contracted servicing activities, including for the orderly transfer of any contracted critical servicing activities upon a termination or expiration of any applicable contract; ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
58,"[63.17399597167969, 125.78700256347656, 67.27400207519531, 129.88699340820312]",1.0,//Document/L[3]/LI[2]/Lbl/Figure,,"[63.47739999999976, 125.9989999999998, 67.19729999999981, 129.71899999999732]",,,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"[72.52400207519531, 91.78900146484375, 535.1840057373047, 136.73899841308594]",1.0,//Document/L[3]/LI[2]/LBody,,,,,,,,,,,,,,,,,False,,"ensure no disruption of service, service levels, or oﬀerings from any subservicer or outsource vendor which may have a material adverse eﬀect on either the borrower or the critical servicing functions for mortgage loans serviced for Fannie Mae; ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
60,"[63.17399597167969, 772.1869964599609, 67.27400207519531, 776.2870025634766]",2.0,//Document/L[4]/LI/Lbl/Figure,,"[63.47739999999976, 772.292999999976, 67.19729999999981, 776.0129999999772]",,,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"[72.52400207519531, 738.1889953613281, 522.6640014648438, 783.1390075683594]",2.0,//Document/L[4]/LI/LBody/ParagraphSpan,,,,,,,,,,,,,,,,,False,,"conduct audits and QC reviews on subservicer/outsource vendor for contracted servicing activities, including services performed outside the United States, to ensure compliance with Fannie Mae requirements; and ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
62,"[63.17399597167969, 724.1869964599609, 67.27400207519531, 728.2870025634766]",2.0,//Document/L[4]/LI/LBody/L/LI/Lbl/Figure,,"[63.47739999999976, 724.2949999999837, 67.19729999999981, 728.0149999999849]",,,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"[72.52400207519531, 704.1889953613281, 501.4340057373047, 735.1390075683594]",2.0,//Document/L[4]/LI/LBody/L/LI/LBody,,,,,,,,,,,,,,,,,False,,conduct operational assessments and reviews that measure the subservicer/outsource vendor performance in various departments. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
64,"[42.52400207519531, 619.9889984130859, 554.3040008544922, 692.9389953613281]",2.0,//Document/P[8],,,,,,11.25,,,,,,,,,,,False,en,"The servicer must have eﬀective processes to promptly address borrower inquiries (relating to both current and delinquent mortgage loans) and provide timely payoﬀ quotes and refunds of escrow deposits after payoﬀ. To the extent consistent with the borrower’s mortgage loan documents and applicable laws and regulations, Fannie Mae encourages the servicer to adopt servicing practices that allow for an appropriate level of discretion to take into account the facts of a particular mortgage loan and the circumstances of the borrower. ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,14.0,,
65,"[42.52400207519531, 552.7890014648438, 529.2039947509766, 611.7389984130859]",2.0,//Document/P[9],,,,,,16.25,,,,,,,,,,,False,en,"In performing the services and duties incident to the servicing of mortgage loans, the servicer must take whatever action necessary to protect the beneficial interest of Fannie Mae and an MBS trust in the security property as long as it is authorized to do so by the terms of the mortgage loan. Among other things, this generally includes, but is not limited to: ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,14.0,,
66,"[63.17399597167969, 530.5870056152344, 67.27400207519531, 534.6869964599609]",2.0,//Document/L[5]/LI/Lbl/Figure,,"[63.47739999999976, 530.7429999999877, 67.19729999999981, 534.4629999999888]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
