pdf_row_id,Bounds,Page,Path,filePaths,attributes.BBox,attributes.NumCol,attributes.NumRow,attributes.Placement,attributes.SpaceAfter,attributes.BackgroundColor,attributes.BlockAlign,attributes.BorderColor,attributes.BorderStyle,attributes.BorderThickness,attributes.ColIndex,attributes.Height,attributes.InlineAlign,attributes.RowIndex,attributes.Width,HasClip,Lang,Text,TextSize,Font.alt_family_name,Font.embedded,Font.encoding,Font.family_name,Font.font_type,Font.italic,Font.monospaced,Font.name,Font.subset,Font.weight,attributes.LineHeight,Kids,Reference,attributes.TextAlign,attributes.RowSpan
10,"[100.62300109863281, 705.6889953613281, 108.79301452636719, 722.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI/Lbl,,,,,,,,,,,,,,,,,False,,• ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
11,"[108.79299926757812, 705.6889953613281, 248.0030059814453, 722.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI/LBody,,,,,,,,,,,,,,,,,False,,"the UPB of the mortgage loan, ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
12,"[100.62300109863281, 705.6889953613281, 248.0030059814453, 722.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI,,,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,12.0,,,,
13,"[100.62300109863281, 689.6889953613281, 108.79301452636719, 706.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI[2]/Lbl,,,,,,,,,,,,,,,,,False,,• ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
14,"[108.79299926757812, 689.6889953613281, 217.72300720214844, 706.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI[2]/LBody,,,,,,,,,,,,,,,,,False,,"the applicable PTR, and ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
15,"[100.62300109863281, 689.6889953613281, 217.72300720214844, 706.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI[2],,,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,12.0,,,,
16,"[100.62300109863281, 673.6889953613281, 108.79301452636719, 690.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI[3]/Lbl,,,,,,,,,,,,,,,,,False,,• ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
17,"[108.79299926757812, 673.6889953613281, 451.572998046875, 690.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI[3]/LBody,,,,,,,,,,,,,,,,,False,,the number of days the mortgage loan exceeded the allowable time frame. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
18,"[100.62300109863281, 673.6889953613281, 451.572998046875, 690.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI[3],,,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,12.0,,,,
19,"[55.52400207519531, 566.7389984130859, 523.6739959716797, 653.6889953613281]",0.0,//Document/P,,,,,,11.125,,,,,,,,,,,,en,,,,,,,,,,,,,14.0,"[{'Bounds': [55.52400207519531, 637.218994140625, 83.23396301269531, 653.1190032958984], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed-Bold', 'subset': True, 'weight': 700}, 'HasClip': False, 'Page': 0, 'Path': '//Document/P/Span', 'Text': 'Note:', 'TextSize': 10.0}, {'Bounds': [55.52400207519531, 594.7389984130859, 523.6739959716797, 653.6889953613281], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 0, 'Path': '//Document/P', 'Text': ' A compensatory fee bill will be issued only for those servicers identified as having a chronic issue in meeting foreclosure time frames and only after the completion of a performance improvement plan. The total compensatory fee bill amount will be adjusted based on the results of the mortgage loan level review as described in ', 'TextSize': 10.0}, {'Bounds': [205.70399475097656, 594.7389984130859, 357.2239990234375, 611.6889953613281], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 0, 'Path': '//Document/P/Reference', 'Text': 'A2-4-01, Quality Control Reviews ', 'TextSize': 10.0}, {'Bounds': [55.52400207519531, 580.7389984130859, 515.1239929199219, 611.6889953613281], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 0, 'Path': '//Document/P', 'Text': 'and the servicer’s implementation of remediation under the performance improvement plan as described in ', 'TextSize': 10.0}, {'Bounds': [388.593994140625, 580.7389984130859, 488.3739929199219, 597.6889953613281], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 0, 'Path': '//Document/P/Reference[2]', 'Text': 'A1-1-03, Evaluating a ', 'TextSize': 10.0}, {'Bounds': [55.52400207519531, 566.7389984130859, 160.37400817871094, 583.6889953613281], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 0, 'Path': '//Document/P/Reference[3]', 'Text': 'Servicer’s Performance', 'TextSize': 10.0}, {'Bounds': [160.37399291992188, 566.7389984130859, 165.73399353027344, 583.6889953613281], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 0, 'Path': '//Document/P', 'Text': '. ', 'TextSize': 10.0}]",,,
20,"[55.52400207519531, 637.218994140625, 83.23396301269531, 653.1190032958984]",0.0,//Document/P/Span,,,,,,,,,,,,,,,,,False,,Note:,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed-Bold,True,700.0,,,,,
21,"[55.52400207519531, 594.7389984130859, 523.6739959716797, 653.6889953613281]",0.0,//Document/P,,,,,,,,,,,,,,,,,False,, A compensatory fee bill will be issued only for those servicers identified as having a chronic issue in meeting foreclosure time frames and only after the completion of a performance improvement plan. The total compensatory fee bill amount will be adjusted based on the results of the mortgage loan level review as described in ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
22,"[205.70399475097656, 594.7389984130859, 357.2239990234375, 611.6889953613281]",0.0,//Document/P/Reference,,,,,,,,,,,,,,,,,False,,"A2-4-01, Quality Control Reviews ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
23,"[55.52400207519531, 580.7389984130859, 515.1239929199219, 611.6889953613281]",0.0,//Document/P,,,,,,,,,,,,,,,,,False,,and the servicer’s implementation of remediation under the performance improvement plan as described in ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
24,"[388.593994140625, 580.7389984130859, 488.3739929199219, 597.6889953613281]",0.0,//Document/P/Reference[2],,,,,,,,,,,,,,,,,False,,"A1-1-03, Evaluating a ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
25,"[55.52400207519531, 566.7389984130859, 160.37400817871094, 583.6889953613281]",0.0,//Document/P/Reference[3],,,,,,,,,,,,,,,,,False,,Servicer’s Performance,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
26,"[160.37399291992188, 566.7389984130859, 165.73399353027344, 583.6889953613281]",0.0,//Document/P,,,,,,,,,,,,,,,,,False,,. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
27,"[42.52400207519531, 527.5390014648438, 537.1340026855469, 558.4889984130859]",0.0,//Document/P[2],,,,,,18.0,,,,,,,,,,,,en,,,,,,,,,,,,,14.0,"[{'Bounds': [42.52400207519531, 541.5390014648438, 62.17396545410156, 558.4889984130859], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 0, 'Path': '//Document/P[2]', 'Text': 'See ', 'TextSize': 10.0}, {'Bounds': [62.17399597167969, 541.5390014648438, 283.70399475097656, 558.4889984130859], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 0, 'Path': '//Document/P[2]/Reference', 'Text': 'F-2-03, Compensatory Fee Calculation Examples ', 'TextSize': 10.0}, {'Bounds': [42.52400207519531, 527.5390014648438, 537.1340026855469, 558.4889984130859], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 0, 'Path': '//Document/P[2]', 'Text': 'for examples that illustrate how compensatory fees are calculated. ', 'TextSize': 10.0}]",,,
28,"[42.52400207519531, 541.5390014648438, 62.17396545410156, 558.4889984130859]",0.0,//Document/P[2],,,,,,,,,,,,,,,,,False,,See ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
29,"[62.17399597167969, 541.5390014648438, 283.70399475097656, 558.4889984130859]",0.0,//Document/P[2]/Reference,,,,,,,,,,,,,,,,,False,,"F-2-03, Compensatory Fee Calculation Examples ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
30,"[42.52400207519531, 527.5390014648438, 537.1340026855469, 558.4889984130859]",0.0,//Document/P[2],,,,,,,,,,,,,,,,,False,,for examples that illustrate how compensatory fees are calculated. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
31,"[42.52400207519531, 486.1029968261719, 248.98199462890625, 509.83299255371094]",0.0,//Document/H1,,,,,,18.0,,,,,,,,,,,False,en,Recent Related Announcements ,14.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,16.75,,,,
32,"[42.52400207519531, 455.1390075683594, 501.2740020751953, 472.08900451660156]",0.0,//Document/P[3],,,,,,16.125,,,,,,,,,,,False,en,The table below provides references to recently issued Announcements that are related to this topic. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,,,
33,"[53.27400207519531, 385.4389953613281, 457.5740051269531, 436.5690002441406]",0.0,//Document/Table[2],['tables/fileoutpart1.xlsx'],"[42.47829999999885, 374.5089999999909, 553.0569999999716, 445.9059999999881]",2.0,2.0,Block,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[132.63400268554688, 420.66900634765625, 216.8939971923828, 436.5690002441406]",0.0,//Document/Table[2]/TR/TH,,"[42.47829999999885, 411.5879999999888, 304.30799999999, 445.9059999999881]",,,,,"[1, 1, 1]",Middle,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'Solid', 'None', 'Solid']","[0.875, 0.375, 0, 0.375]",0.0,34.375,Center,0.0,261.875,,,,,,,,,,,,,,,,,,,
35,"[132.63400268554688, 420.66900634765625, 216.8939971923828, 436.5690002441406]",0.0,//Document/Table[2]/TR/TH/P,,,,,,,,,,,,,,,,,False,en,Announcements ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed-Bold,True,700.0,12.0,,,,
36,"[401.4340057373047, 420.66900634765625, 457.5740051269531, 436.5690002441406]",0.0,//Document/Table[2]/TR/TH[2],,"[303.4679999999935, 411.5879999999888, 553.8969999999972, 445.9059999999881]",,,,,"[1, 1, 1]",Middle,"[0.7019649999999729, 0.7019649999999729, 0.7019649999999729]",Solid,"[0.875, 0.375, 0.375, 0.875]",1.0,34.375,Center,0.0,250.25,,,,,,,,,,,,,,,,,,,
37,"[401.4340057373047, 420.66900634765625, 457.5740051269531, 436.5690002441406]",0.0,//Document/Table[2]/TR/TH[2]/P,,,,,,,,,,,,,,,,,False,en,Issue Date ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed-Bold,True,700.0,12.0,,,,
38,"[53.27400207519531, 385.4389953613281, 186.06399536132812, 402.3890075683594]",0.0,//Document/Table[2]/TR[2]/TD,,"[42.47829999999885, 374.5089999999909, 304.30799999999, 412.42699999999604]",,,,,"[1, 1, 1]",Middle,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'None', 'None', 'Solid']","[0.375, 0, 0, 0.375]",0.0,37.875,Start,1.0,261.875,,,,,,,,,,,,,,,,,,,
39,"[53.27400207519531, 385.4389953613281, 186.06399536132812, 402.3890075683594]",0.0,//Document/Table[2]/TR[2]/TD/P,,,,,,,,,,,,,,,,,False,en,Announcement SVC-2019-01 ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,https://singlefamily.fanniemae.com/media/document/pdf/announcement-svc-2019-01-servicing-guide-update,,
40,"[314.49400329589844, 385.4389953613281, 400.2539978027344, 402.3890075683594]",0.0,//Document/Table[2]/TR[2]/TD[2],,"[303.4679999999935, 374.5089999999909, 553.8969999999972, 412.42699999999604]",,,,,"[1, 1, 1]",Middle,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'None', 'Solid', 'Solid']","[0.375, 0, 0.375, 0.875]",1.0,37.875,Start,1.0,250.25,,,,,,,,,,,,,,,,,,,
41,"[314.49400329589844, 385.4389953613281, 400.2539978027344, 402.3890075683594]",0.0,//Document/Table[2]/TR[2]/TD[2]/P,,,,,,,,,,,,,,,,,False,en,"February 13, 2019 ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,,,
42,"[42.52400207519531, 338.6029968261719, 413.8679962158203, 364.0429992675781]",0.0,//Document/H1[2],,,,,,18.0,,,,,,,,,,,False,en,"Subpart A2, Getting Started with Fannie Mae ",16.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed-Bold,True,700.0,19.25,,,,
43,"[42.52400207519531, 272.7310028076172, 456.9239959716797, 298.17100524902344]",0.0,//Document/H1[3],,,,,,18.0,,,,,,,,,,,False,en,"Chapter A2-1, Servicer Duties and Responsibilities ",16.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed-Bold,True,700.0,19.25,,,,
44,"[42.52400207519531, 228.29299926757812, 122.56199645996094, 252.0229949951172]",0.0,//Document/H2,,,,,,18.0,,,,,,,,,,,False,en,Introduction ,14.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,16.75,,,,
45,"[42.52400207519531, 197.32899475097656, 373.1540069580078, 214.2790069580078]",0.0,//Document/P[4],,,,,,18.0,,,,,,,,,,,False,en,This chapter contains information on servicer duties and responsibilities. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,,,
46,"[42.52400207519531, 748.3350067138672, 530.7960052490234, 775.4550018310547]",1.0,//Document/H1[4],,,,,,18.0,"[0.9529419999999789, 0.9529419999999789, 0.9529419999999789]",,,,,,,,,,False,en,"A2-1-01, General Servicer Duties and Responsibilities (04/12/2023) ",16.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,19.25,,,,
